person_id	display_name	wikidata_qid	born	died	confidence	same_surname_warning	note
bikova	Bykova, Elisaveta	Q253772	1913	1989	high	Evgeniya Bykova (Q28480088), Soviet chess player 1935-2016, is another chess Bykova whose forename also begins with E; the 1959 world-championship match is what rules her out.	the row's only event is wch-1959-bikova-zvorykina, and Wikipedia's Women's World Chess Championship 1959 article confirms that Moscow match was Bykova defending against Kira Zvorykina, so 'Bikova, E.' is Elisaveta Bykova, whose enwiki article maps to Q253772; display name corrected to the English Wikipedia spelling, though the catalogue's sibling row spells it 'Bykova, Elizaveta' and the two rows are the same woman.
bird	Bird, Henry	Q376098	1829	1908	high		Wikidata Q376098 'Henry Bird' (alias Henry Edward Bird), English player who popularised 1.f4 and the Ruy Lopez 3...Nd4; born year reported as 1829 following Wikipedia's baptismal-record correction and OCN's existing CSV attribution, but note Wikidata still records 1830-07-14, so the date disagrees with the QID source.
blackburne	Blackburne, Joseph	Q352459	1841	1924	high		enwiki 'Joseph Henry Blackburne' maps to Q352459 (British player 1841-1924), the only chess Blackburne on Wikidata, and the Blackburne-Kostić Gambit 3...Nd4 is the line Wikipedia also calls the Blackburne Shilling Gambit; Wikidata's full form is 'Joseph Henry Blackburne' if you want the middle name.
blackmar	Blackmar, Armand	Q3443632	1826	1888	high		"Wikidata ""Blackmar-Diemer Gambit"" (Q880889) has named-after (P138) = Q3443632 plus Q90375 (Emil Josef Diemer); the New Orleans music publisher Armand Edward Blackmar also carries occupation chess player and published Blackmar's Gambit in 1882."
bogoljubov	Bogoljubov, Efim	Q57310	1889	1952	high		Wikidata Q57310 'Efim Bogoljubov' (enwiki title 'Efim Bogoljubow'), chess player 1889-1952, is credited by Wikipedia's openings list as the Bogo-Indian eponym; display name kept at the Wikidata English label spelling, but note enwiki uses the -ow ending.
bogoljubow	Bogoljubow, Efim	Q57310	1889	1952	high		Wikidata Q57310, Ukrainian-born German grandmaster (1889-1952) and twice world championship challenger, is the eponym of the Bogo-Indian Defence; input spelling kept because it matches the English Wikipedia title 'Efim Bogoljubow', although the Wikidata English label reads 'Efim Bogoljubov'.
boleslavsky	Boleslavsky, Isaac	Q357815	1919	1977	high		enwiki 'Isaac Boleslavsky' maps to Q357815 (Soviet GM 1919-1977), and Wikipedia's openings list credits the Sicilian Boleslavsky Variation to Isaac Boleslavsky; he is the only chess Boleslavsky on Wikidata.
bonaparte	Bonaparte, Napoleon	Q517	1769	1821	high		Wikidata Q517 'Napoleon', Emperor of the French (1769-1821), enwiki 'Napoleon'; he carries a chessgames.com player ID (77025) and the Napoleon Opening (1.e4 e5 2.Qf3) is named for him.
bonschosmolovsky	Bonch-Osmolovsky, Mikhail	Q21089346	1919	1975	high		Wikidata Q21089346, English label 'Mikhail Osmolovsky' with alias 'Mikhail Bonch-Osmolovsky', Soviet chess player 1919-1975, ru.wikipedia 'Бонч-Осмоловский, Михаил Александрович' (dates confirmed there); independent sources name the King's Gambit 3...Ne7 line after this Soviet national master. Display name corrected to the standard transliteration 'Bonch-' — ECO spells the variation 'Bonsch-Osmolovsky', so the opening name and the person name legitimately differ.
botvinnik	Botvinnik, Mikhail	Q178865	1911	1995	high		Wikidata Q178865 'Mikhail Botvinnik', Soviet world champion (1911-1995), enwiki 'Mikhail Botvinnik' — eponym of the Semi-Slav and English Botvinnik systems; no openings were supplied on the input row, so the match rests on the name plus his unique standing.
brentano	Brentano, Franz	Q57196	1838	1917	high	Wikidata holds three other Franz Brentanos — a painter (Q94831774), Franz Dominicus Brentano (Q1446569) and Franz Anton Brentano (Q53157132); the eponym is the philosopher Q57196, who carries no chess-player occupation, so an occupation filter would wrongly reject him.	OCN's own catalogue row C.RyL.Bre already quotes Hooper and Whyld's Oxford Companion to Chess: 'Franz Clemens Honoratus Hermann Josef Brentano (1838-1917), a well-known German philosopher who lived in Vienna, frequently published analyses of the openings' — that exact full name is a registered English alias of Wikidata Q57196, the philosopher, whose dates match to the day.
breyer	Breyer, Gyula	Q559260	1893	1921	high		Wikidata Q559260 'Gyula Breyer', human, Hungarian chess player 1893-1921, huwiki 'Breyer Gyula'; enwiki eponym list credits him with the Breyer Variation of the King's Gambit (1.e4 e5 2.f4 exf4 3.Qf3), the KGA Breyer Gambit listed, and separately with the Ruy Lopez Breyer.
bronstein	Bronstein, David	Q312908	1924	2006	high	Q58419633 is a different David Bronstein, the father of Leon Trotsky, an exact name match; Trotsky himself was born Lev Davidovich Bronstein. Distinct again from the Bronstein delay used in chess clocks (named after this grandmaster) and from Q86932220/Q95759386, a researcher and an actor of the same name.	Q312908 'David Bronstein', Soviet chess grandmaster (1924-2006), aliases David Ionovich Bronstein; dropped the stray 'I' initial from the display name since it reads as a regnal numeral and Wikidata's common English form is plain David Bronstein.
bykova	Bykova, Elisaveta	Q253772	1913	1989	high		Wikidata Q253772, human, Soviet chess player 1913-1989, twice Women's World Champion, WGM/IM. Forename spelling normalised Elizaveta -> Elisaveta to match the enwiki article title 'Elisaveta Bykova', whose lead reads 'Elisaveta Ivanovna Bykova (or Elisabeth Bykova ... 4 November 1913 - 8 March 1989)'. Note the Wikidata English label is the less common 'Elisabeth Bykova'; no openings listed for this row, so identification rests on the name plus chess-player typing.
camara	Câmara, Hélder	Q10299150	1937	2016	high	DECOY: Q378326 is Hélder Câmara the Brazilian archbishop (1909-1999), vastly more famous and an exact name match. The chess player is the disambiguated article, not the archbishop.	Q10299150 is 'Hélder Câmara (chess player)', Brazilian IM (FIDE ID 2100193, 1937-2016); the en.wikipedia Gunderam Defense article links his name for the Câmara Defence (1.e4 e5 2.Nf3 Qe7 with ...g6, ...Bg7, ...Nf6), which he asked be renamed after him.
capablanca	Capablanca, José Raúl	Q160702	1888	1942	high		Wikidata Q160702, Cuban world champion 1888-1942, chessgames id 47544; independently matches the resolution already recorded at docs/evidence/people/wikidata-resolution.tsv. Forename expanded from the mechanical 'Jose' to 'José Raúl'.
carlsen	Carlsen, Magnus	Q106807	1990		high		Wikidata Q106807 (human, chess player, Norway, born 1990); no openings were supplied, but he is the sole chess player surnamed Carlsen on Wikidata, so the name resolves uniquely.
caro	Caro, Horatio	Q1627984	1862	1920	high		Wikidata Q1627984 'Horatio Caro', British chess player 1862-1920, occupation chess player, en.wikipedia 'Horatio Caro'; the co-eponym (with Marcus Kann) of the Caro-Kann Defence.
carrera	Carrera, Pietro	Q631673	1573	1647	high	Q132987130 is a different Pietro Carrera, an Italian architect (1835-1887) with only an itwiki sitelink; he is not a chess figure, and Q631673 is the only chess player surnamed Carrera on Wikidata.	Wikidata Q631673 (human, chess player, historian and priest of the Kingdom of Sicily); enwiki's list entry 'Carrera Gambit of the King's Gambit, 3.Qh5' links to [[Pietro Carrera]], this item's enwiki sitelink.
caruana	Caruana, Fabiano	Q367277	1992		high		Wikidata Q367277 'Fabiano Caruana', Italian-American GM b. 1992, FIDE ID 2020009; sole notable chess Caruana.
chekhover	Chekhover, Vitaly	Q363772	1908	1965	high		Wikidata Q363772, Soviet IM and endgame study composer (1908-1965), is the Chekhover of the Sicilian Chekhover Variation; only chess player with this surname on Wikidata.
chesscom	Chess.com	Q16829376			medium		Wikidata Q16829376 'Chess.com', the online chess-playing site (official website https://www.chess.com, 39 sitelinks) - the entity match for the given name is certain, but it is an organisation, not a person. Flagging a likely catalogue error: enwiki's eponym list says the Bongcloud Attack (1.e4 e5 2.Ke2) is 'named after Chess.com user Lenny_Bongcloud, who used this opening many times, and kept losing'. The eponym is therefore a pseudonymous site user, not the company, so this row probably needs editorial review rather than a company QID.
chigorin	Chigorin, Mikhail	Q298286	1850	1908	high		Wikidata Q298286 (human, chess player, Russian Empire); enwiki credits him with both the Chigorin Defence 1.d4 d5 2.c4 Nc6 and the French Defence 2.Qe2 Chigorin Variation, matching both listed openings.
clemenz	Clemenz, Hermann	Q1107839	1846	1908	high		Wikidata's Clemenz Opening item (Q867941) carries an explicit named-after (P138) statement pointing to Q1107839 'Hermann Clemenz', Estonian chess player (1846-1908).
cochrane	Cochrane, John	Q964982	1798	1878	high	Wikidata carries at least ten items labelled 'John Cochrane' (a US general Q5844272, an economist, several Scots); Q964982 is the only one with occupation chess player.	Wikidata Q964982, Scottish lawyer and chess player (1798-1878), is confirmed by his English Wikipedia article as the player who first used the Cochrane Gambit against Petrov's Defence, against Bannerjee in 1848.
colle	Colle, Edgard	Q499915	1897	1932	high		Wikidata Q499915 'Edgard Colle', Belgian chess master 1897-1932, enwiki 'Edgard Colle'; the catalogue row D.QPG.Zuk.Nf6.e3 already attributes the Colle System to him with an Oxford Companion citation.
colman	Colman, Eugene	Q5407213	1878	1964	high		Q5407213, enwiki 'Eugene Ernest Colman', British chess player 1878-1964, Singapore's leading pre-war player and eponym of the Two Knights Defence Colman Variation (C58, 8.Qf3 Rb8).
cozio	Cozio, Carlo	Q1042083	1715	1780	high		Sole Wikidata match Q1042083, 'Italian chess player', Kingdom of Sardinia, dates recorded as 1715-1780 (both approximate in the literature), author of the treatise that gives the Ruy Lopez Cozio Defence its name.
cunningham	Cunningham, Alexander	Q283083	1655	1730	high	Three Wikidata items named Alexander Cunningham carry a 'chess player' occupation claim. Q1288869 (historian, 1654-1737) holds that claim spuriously — its own enwiki article says the identification with 'Cunningham the critic (1655?-1730)' was argued 'wrongly given the extant wills'. Q18611108 ('Scottish chess player') is an empty duplicate stub with no dates and no sitelinks, linked only as partially coincident with the disambiguation page. Q283083 is the sourced target.	Wikidata Q283083, enwiki 'Alexander Cunningham (jurist)', Scottish critic and classical scholar (1655-1730) whose article states 'It was as a chess-player that Alexander Cunningham was famous at the Hague' and names the Cunningham Gambit (1.e4 e5 2.f4 exf4 3.Nf3 Be7).
damiano	Damiano, Pedro	Q442521	1480	1544	high		Wikidata Q442521 'Pedro Damiano', Portuguese chess player, theoretician and writer (1480-1544), eponym of the Damiano Defence.
desprez	Desprez, Marcel				not-found	DECOY: Q3288890 'Marcel Després', French politician and industrialist (1890-1973), carries 'Marcel Desprez' as a registered alias and will surface on a name search, but his occupations are politician and industrialist with no chess link. Also distinct from Marcel Deprez the electrical engineer. Note Wikipedia spells the eponym Després while ECO spells the opening Desprez; the spelling is left unchanged here because the person could not be verified.	The en.wikipedia Desprez Opening article names 'the French player Marcel Després' as a red link with no article, and CirrusSearch for both Desprez and Després constrained to occupation chess player returns nothing, so no Wikidata item exists; the opening is also known as the Kádas Opening after the Hungarian Gábor Kádas.
diemer	Diemer, Emil	Q90375	1908	1990	high		Wikidata Q90375 'Emil Josef Diemer', German chess player 1908-1990, enwiki 'Emil Josef Diemer'; the Blackmar-Diemer Gambit is his lifelong advocacy. Wikidata and enwiki both use the fuller 'Emil Josef Diemer' if the catalogue wants the middle name.
ding	Ding, Liren	Q1191198	1992		high	Ding is shared among Chinese players, notably WGM Ding Yixin; this row is the world champion Ding Liren.	Wikidata Q1191198 'Ding Liren', Chinese grandmaster (GM 2009) and former World Chess Champion, born 24 October 1992; surname Ding, given name Liren, so the inverted form is already correct.
dory	Döry, Ladislaus				not-found	Jenő Döry (Q27579527), Hungarian chess player b. 1951, shares the surname; do not use him. Q111270511 (László Dőry de Jobaháza, 1891-1975, theologian) is a name-alike trap, not the player.	no Wikidata item exists for the chess Ladislaus Döry von Jobbaháza: Wikipedia's openings list gives 'named after Ladislaus Döry' as plain text with no article, the Wikidata Döry Defence item (Q3707350) has no 'named after' claim, and an exhaustive sweep of all 28 Wikidata people bearing the Dőry/Döry family name found only Jenő Döry (Q27579527, b. 1951) as a chess player; the closest namesake, László Dőry de Jobaháza (Q111270511), is a theologian born 1891 and so not the player chessgames.com dates to 1897 Austria.
dracula	Dracula, Count				not-found		Not a person: Tim Harding coined the Frankenstein-Dracula Variation in 1976 because 'a game between Dracula and the Frankenstein Monster would not seem out of place', and OCN's own evidence file records the eponym pair as 'Frankenstein's monster; Count Dracula' with source 'none / traditional'. The row C.Vie.Fal.MLn is aliased 'Vienna Game: Frankenstein-Dracula Variation', confirming the derivation. Q3266236 is the fictional-character item for Bram Stoker's Count Dracula if an entity is ever needed, but it is a fictional character and a second character is equally implicated, so it must not enter a people table — recommend dropping this row.
dunst	Dunst, Ted A.	Q63125490	1907	1985	high		Wikidata Q63125490 'Ted A. Dunst' (alias Theodore Alexander Dunst), US chess player 1907-1985, chessgames id 102164, is the target of a 'named after' (P138) statement on the Dunst Opening item Q596219 itself; the listed 'Van Geet Opening' is the same 1.Nc3 opening under an alternative name whose other eponym is Dick van Geet (Q2902350), so confirm which eponym this row is meant to carry.
duras	Duras, Oldřich	Q506427	1882	1957	high		Wikidata Q506427 (human, chess player, Czech); enwiki's list gives 'Duras Variation of the Ruy Lopez, 1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 d6 5.c4, named after Oldřich Duras', which is exactly the Modern Steinitz with c4.
durkin	Durkin, Robert	Q63125610	1923	2014	high	Wikidata holds other Robert Durkins (Q51751963, a USAF officer; Q21453080); only Q63125610 is the chess player.	The Wikidata item for the opening itself, Durkin Opening Q1528515, carries named-after (P138) pointing at Q63125610 'Robert T. Durkin', and English Wikipedia states the 1.Na3 Sodium Attack is named for Robert T. Durkin (1923-2014) of New Jersey; the 2014 death year comes from Wikipedia, as Wikidata records only the 1923 birth.
eisenberg	Eisenberg, Louis	Q2063513	1876		high		Wikidata Q2063513 'Louis Eisenberg', Ukrainian-American chess master born 1876 in Odesa (death recorded as unknown value; enwiki says 'after 1920'); the KGA Eisenberg Variation 3.Nh3 is credited to Louis R. Eisenberg of Odessa/Monte Carlo 1902.
englund	Englund, Fritz	Q1465925	1871	1933	high	The same gambit's P138 also lists Henry Charlick (Q5719343, 1845-1916), the Australian eponym of the alternative name Charlick Gambit; the Englund label belongs to Q1465925.	"Wikidata ""Englund Gambit"" (Q511293) has named-after (P138) = Q1465925, and the enwiki article confirms ""The Swedish player Fritz Englund (1871-1933)"" sponsored the 1932-33 thematic tournament that gave the gambit its name."
euwe	Euwe, Max	Q173714	1901	1981	high		"Q173714 is the Dutch chess player and mathematician Max Euwe, fifth world champion and later FIDE president, sole chess bearer of the surname on Wikidata (76 sitelinks, enwiki ""Max Euwe"")."
evans	Evans, William	Q456905	1790	1872	high	Larry Evans (Q725629, 1932-2010, American GM and author) is the other well-known chess Evans, along with Larry D. Evans (Q27524893) and Deborah Evans-Quek (Q108563023); the gambit is the 19th-century William Davies Evans.	"Wikidata ""Evans Gambit"" (Q681934) has named-after (P138) = Q456905, William Davies Evans, Welsh sea captain and chess player; full form of the name is William Davies Evans."
fajarowicz	Fajarowicz, Sammi	Q112004	1908	1940	high		Wikidata Q112004 'Sammi Fajarowicz', German chess player (1908-1940) of Leipzig; the same search returns Q1393612 'Fajarowicz Gambit' as the opening named for him in the Budapest Defence.
falkbeer	Falkbeer, Ernst	Q442552	1819	1885	high		Wikidata Q442552 'Ernst Falkbeer', Austro-Hungarian chess player and journalist (1819-1885), sole eponym of the Falkbeer Countergambit classified under the King's Gambit Declined.
fischer	Fischer, Robert James	Q41314	1943	2008	high	Wikidata holds eight chess players surnamed Fischer (Daniel Q71318786, Johannes Q71304137, Julie Q28481027, Sebastian Q109381919, two Johanns Q71321312 and Q71291186); the King's Gambit Fischer Defence is unambiguously Bobby Fischer's own recommendation.	Wikidata Q41314 (human, chess player); enwiki records that his 1961 article 'A Bust to the King's Gambit' recommended 3...d6, which became known as the Fischer Defence. Display name expands the mechanically truncated 'Robert J' to Wikidata's recorded alias 'Robert James Fischer' (P735 = Robert, James).
fleissig	Fleissig, Bernhard	Q2902583	1853	1931	high	Shared surname: his elder brother Max Fleissig was also an Austrian chess master (no Wikidata item found for him). The Scotch variation is Bernhard's.	Wikidata Q2902583 'Bernhard Fleissig', Austrian chess player (1853-1931); the English Wikipedia article credits him with the Scotch Fleissig Variation (1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Nxd4 Bc5 5.Be3 Qf6 6.c3 Nge7 7.Nc2), which sits inside the listed C45 Scotch Classical/Schmidt/Meitner complex.
flohr	Flohr, Salo	Q317890	1908	1983	high		Wikidata Q317890 'Salo Flohr', Czechoslovak/Soviet chess player, theoretician and writer (1908-1983); both listed lines (the Flohr subvariation of the English Mikėnas-Carls and the Caro-Kann Classical Flohr) carry his name.
forgacs	Forgács, Leó	Q934474	1881	1930	high	Three modern minor chess players share the surname on Wikidata: Gyula Forgács (Q27525051), József Forgács (Q71297979), Attila Jr. Forgács (Q113673585). Dates separate them cleanly.	Wikidata Q934474 'Leó Forgács', Hungarian chess player 1881-1930, enwiki 'Leó Forgács', the only pre-war chess Forgács; no openings were supplied, so the match rests on name plus era plus occupation. Diacritics restored because the catalogue keeps them in house style (Mikėnas, Réti, Grünfeld, Hübner).
from	From, Martin Severin	Q641093	1828	1895	high		"Wikidata Q641093 ""Martin Severin From"", Danish chess master (1828–1895); the From Gambit item Q1363985 carries P138 (named after) → Q641093. Forename expanded from ""Martin"" to the full ""Martin Severin"" that Wikidata and the chess literature use."
furman	Furman, Semyon	Q2005726	1920	1978	high	An identically named Russian actor, Semyon Furman (Q4493515), exists on Wikidata and is a live confusion risk despite not being a chess figure.	Wikidata Q2005726 'Semyon Furman', Soviet GM and chess coach (1920-1978), enwiki 'Semyon Furman' — eponym of the QGA Furman Variation; Karpov's long-time trainer.
gajewski	Gajewski, Grzegorz	Q4131618	1985		high	Two other Grzegorz Gajewski items exist on Wikidata — a film director (Q22115069, born 1958, plwiki 'Grzegorz Gajewski (reżyser)') and an actor/theatre director (Q122641815) — neither a chess player; the Polish Wikipedia article is disambiguated as '(szachista)'.	Wikidata Q4131618, Polish grandmaster born 1985-07-19, FIDE id 1116207, credited with the Gajewski Gambit in OCN's eponym evidence file and in Wikipedia's list of chess openings named after people.
galliamova	Galliamova, Alisa	Q466286	1972		high		"Wikidata Q466286, human, female, Russian, chess player, born 1972-01-18, FIDE ID 4129725, English Wikipedia ""Alisa Galliamova"" (the item's default label renders in Tatar as ""Alisä Ğällämevä"", which is why a label-only match looks wrong). Confirmed against the corpus: catalog/ocn-1.wch.tsv has her in the 1999 FIDE Women's WCh final against Xie Jun at Shenyang/Kazan, and Xie Jun's article records that same match."
galway	O'Kelly de Galway, Albéric	Q1269539	1911	1980	high		Wikidata Q1269539 'Albéric O'Kelly de Galway', Belgian chess grandmaster 1911-1980, en.wikipedia article; the Sicilian O'Kelly Variation (2...a6) is his. Input name was mechanically split — the surname is 'O'Kelly de Galway', not 'Galway'.
gaprindashvili	Gaprindashvili, Nona	Q231630	1941		high		Wikidata Q231630 'Nona Gaprindashvili', Soviet (Georgian) chess player born 1941, fifth Women's World Chess Champion; no openings listed in the input, matched on name plus chess-player occupation, which is unique on Wikidata.
gelfand	Gelfand, Boris	Q486778	1968		high	Distinct from Boris Gelfand the Russian scientist (Q60694743); a disambiguation page also exists at Q56653678.	Wikidata Q486778, Belarusian-Israeli GM born 1968 (FIDE 2805677); the catalogue's world-championship rows for this person are the 2012 Anand-Gelfand match in Moscow, which he contested.
glek	Glek, Igor	Q664157	1961		high		Wikidata Q664157 'Igor Glek', Russian chess grandmaster and coach born 1961; eponym of the Four Knights Glek System (4.g3), matching the listed openings.
goglidze	Goglidze, Victor	Q4140994	1905	1964	high		Wikidata Q4140994, the first Georgian chess master and Soviet IM (1905-1964), is the eponym of the Goglidze Attack; no English Wikipedia article exists, so identification rests on the Wikidata item plus ChessBase's 'Victor Arsentievich Goglidze' profile.
goring	Göring, Carl	Q69142	1841	1879	high	Not Hermann Göring; the surname's dominant homonym is unrelated to chess, and the forename Carl is load-bearing here.	Wikidata Q69142 'Carl Göring', German chess player and philosopher 1841-1879, named by Wikipedia's list of openings named after people as the Göring Gambit eponym (the gambit itself is Q2651993).
goryachkina	Goryachkina, Aleksandra	Q4146345	1998		high		Wikidata Q4146345 'Aleksandra Goryachkina', Russian chess player b. 1998, en.wikipedia article; the catalogue's 16 games are all 'WCh Women 2020' versus Ju Wenjun, which is her match, and she is the only chess player of that surname on Wikidata.
greco	Greco, Gioachino	Q352441	1600	1634	high		Wikidata Q352441 'Gioachino Greco', Italian chess player and writer of the Kingdom of Naples, dates recorded as c.1600-1634 at year precision; the only chess Greco and the eponym of the Greco lines in the King's Knight Opening family, though the listed opening string names McConnell rather than Greco.
